date,KO US EQUITY,PEP US EQUITY
2024-04-17,58.51,169.48
2024-04-18,58.91,172.27
2024-04-19,60.17,174.13
2024-04-22,60.55,176.46
2024-04-23,60.64,171.22
2024-04-24,61.55,177.41
2024-04-25,61.74,176.68
2024-04-26,61.74,175.58
2024-04-29,62.04,176.14
2024-04-30,61.77,175.91
2024-05-01,61.93,175.15
2024-05-02,61.99,175.45
2024-05-03,62.17,176.15
2024-05-06,62.35,175.82
2024-05-07,62.62,178.02
2024-05-08,62.85,177.41
2024-05-09,62.88,178.06
2024-05-10,63.26,179.79
2024-05-13,63.58,180.9
2024-05-14,63.1,179.87
2024-05-15,63.13,179.46
2024-05-16,63.32,183.11
2024-05-17,63.03,182.19
2024-05-20,62.57,180.31
2024-05-21,62.91,181.08
2024-05-22,63.0,182.09
2024-05-23,62.09,179.27
2024-05-24,62.0,177.99
2024-05-28,61.82,173.38
2024-05-29,61.7,171.15
2024-05-30,61.97,170.48
2024-05-31,62.93,172.9
2024-06-03,62.93,171.23
2024-06-04,63.94,173.89
2024-06-05,63.92,173.49
2024-06-06,64.15,173.2
2024-06-07,63.91,171.04
2024-06-10,63.59,165.9
2024-06-11,63.55,165.07
2024-06-12,62.88,163.83
2024-06-13,62.99,163.33
2024-06-14,62.55,163.81
2024-06-17,62.62,166.14
2024-06-18,62.63,166.48
2024-06-20,62.18,166.68
2024-06-21,62.77,167.28
2024-06-24,63.97,168.08
2024-06-25,63.84,167.35
2024-06-26,64.05,166.74
2024-06-27,63.91,166.26
2024-06-28,63.65,164.93
2024-07-01,63.28,162.89
2024-07-02,63.15,163.58
2024-07-03,63.33,162.6
2024-07-05,63.76,164.39
2024-07-08,62.96,162.12
2024-07-09,62.69,161.9
2024-07-10,62.83,163.59
2024-07-11,63.1,163.95
2024-07-12,63.7,166.38
2024-07-15,63.41,163.86
2024-07-16,64.27,164.76
2024-07-17,65.21,169.89
2024-07-18,65.19,170.37
2024-07-19,65.29,169.36
2024-07-22,64.77,167.66
2024-07-23,64.96,166.28
2024-07-24,65.81,168.17
2024-07-25,66.07,171.02
2024-07-26,67.05,172.75
2024-07-29,66.83,173.21
2024-07-30,67.68,173.18
2024-07-31,66.74,172.67
2024-08-01,67.96,174.96
2024-08-02,69.33,178.04
2024-08-05,68.1,174.04
2024-08-06,68.05,172.49
2024-08-07,68.46,171.79
2024-08-08,68.73,172.37
2024-08-09,68.68,172.39
2024-08-12,68.17,171.42
2024-08-13,68.46,172.37
2024-08-14,68.58,173.71
2024-08-15,68.65,172.52
2024-08-16,69.18,172.62
2024-08-19,68.98,173.82
2024-08-20,69.38,175.85
2024-08-21,69.57,175.21
2024-08-22,69.33,175.74
2024-08-23,69.79,175.87
2024-08-26,70.84,175.97
2024-08-27,71.5,175.3
2024-08-28,71.75,173.92
2024-08-29,72.05,172.09
2024-08-30,72.47,172.88
2024-09-03,73.01,177.54
2024-09-04,72.56,178.52
2024-09-05,71.17,179.3
2024-09-06,71.14,177.34
2024-09-09,71.85,178.19
2024-09-10,71.55,177.81
2024-09-11,71.08,175.78
2024-09-12,71.23,177.25
2024-09-13,71.41,177.36
2024-09-16,72.1,177.21
2024-09-17,71.8,176.87
2024-09-18,71.75,175.21
2024-09-19,70.62,174.66
2024-09-20,71.64,171.18
2024-09-23,71.73,172.11
2024-09-24,71.33,169.92
2024-09-25,71.45,169.4
2024-09-26,71.4,169.69
2024-09-27,71.79,170.0
2024-09-30,71.86,170.05
2024-10-01,71.71,171.38
2024-10-02,71.01,169.55
2024-10-03,70.52,168.53
2024-10-04,70.17,167.97
2024-10-07,69.01,167.21
2024-10-08,69.18,170.42
2024-10-09,69.57,172.54
2024-10-10,69.25,172.99
2024-10-11,69.57,174.81
2024-10-14,70.34,176.1
2024-10-15,70.34,175.9
2024-10-16,70.57,174.48
2024-10-17,69.9,174.67
2024-10-18,70.44,175.06
2024-10-21,69.45,175.01
2024-10-22,69.45,174.37
2024-10-23,68.01,172.95
2024-10-24,67.3,172.16
2024-10-25,66.92,171.79
2024-10-28,66.67,169.84
2024-10-29,65.56,167.5
2024-10-30,65.92,166.21
2024-10-31,65.31,166.08
2024-11-01,65.01,165.59
2024-11-04,65.11,166.34
2024-11-05,65.37,167.85
2024-11-06,63.7,164.71
2024-11-07,63.66,164.0
2024-11-08,63.92,165.11
2024-11-11,63.36,164.26
2024-11-12,63.2,164.34
2024-11-13,63.0,164.74
2024-11-14,62.55,165.15
2024-11-15,61.74,158.62
2024-11-18,61.86,158.33
2024-11-19,62.59,156.72
2024-11-20,62.99,158.74
2024-11-21,63.76,160.34
2024-11-22,63.92,162.0
2024-11-25,64.38,163.05
2024-11-26,64.55,162.16
2024-11-27,64.43,162.72
2024-11-29,64.08,163.45
2024-12-02,63.65,163.05
2024-12-03,63.52,161.7
2024-12-04,62.21,160.18
2024-12-05,62.92,160.49
2024-12-06,62.53,157.79
2024-12-09,62.6,159.47
2024-12-10,62.91,159.84
2024-12-11,62.64,156.77
2024-12-12,63.84,158.9
2024-12-13,63.12,157.97
2024-12-16,62.55,156.02
2024-12-17,63.4,156.14
2024-12-18,62.85,154.43
2024-12-19,62.45,151.47
2024-12-20,62.55,152.79
2024-12-23,62.38,151.29
2024-12-24,62.84,152.81
2024-12-26,62.57,152.44
2024-12-27,62.45,152.89
2024-12-30,62.03,151.72
2024-12-31,62.26,152.06
